id,wallet_address,name,email,phone,city,state,role,per_tx_limit,daily_limit,agent_registered,budget_set,funded,payment_count,tx_count
1,GD6T3MKRQVEZPU6BBLF5NIKGDM3AV3WZJQL6TTMS4RRAZEEREPNU6YOM,"Rajan Singh",rajansingh96@icloud.com,65430850895,Mumbai,Maharashtra,owner,1691,10146,true,true,true,2,5
2,GAD3GUJWG6GUHLMQVX2AFX4FTUXINPXXBY33GVQG3UJK3H2AQ3JO2AIN,"Divya Dubey",divya.dubey@outlook.com,76990748219,Delhi,Delhi,owner,1690,10140,true,true,true,2,5
3,GDGDU6SJQWNNYOBSRSRM73F5VG5R56PJ2N6JYIT5ZDZTXJWY4W3WG5K2,"Nandini Das",nandinidas94@gmail.com,65400196900,Bangalore,Karnataka,owner,1839,20229,true,true,true,1,4
4,GDWDMVCIXCLRZ2RYUBTF6SEVZKZDGMKIVZ3T7GW7K5RAZMP5WBGSSWW5,"Bhuvan Reddy",bhuvan_reddy@icloud.com,98710578897,Hyderabad,Telangana,owner,2233,22330,true,true,true,1,4
5,GCPCIF6VZCWEO7BRM2TTDDU42TOVADANDYAV6AQ7HFJ256FIYKQY5NAG,"Bhavna Deshmukh",bhavnadeshmukh5@zoho.com,88776741303,Chennai,Tamil Nadu,owner,635,11430,true,true,true,2,5
6,GCHRESUPMH3QVGQMKSNFS36QUOZE7FQIEWT5K4CLILD6QCHOW3I2CF4A,"Pranav Saxena",pranavsaxena@proton.me,87665178823,Kolkata,West Bengal,owner,1516,9096,true,true,true,2,5
7,GDIZ5ACNBHOKFZY24V5SADDS5QWZKZVDXN3KLIK3KXEXTYUIX75DNSLL,"Indira Iyer",indiraiyer35@yahoo.in,65990277724,Pune,Maharashtra,owner,1396,26524,false,false,true,0,1
8,GCY6JK5ZKDLS243ORUNBYVXJ7I7FSOCDPOYSN3XQ2NM2ANUIV5FA2FSA,"Kavya Trivedi",kavya_trivedi@zoho.com,98765620704,Ahmedabad,Gujarat,owner,2371,33194,true,true,true,2,5
9,GBEGMBPZD4YC73WKQDVP4P5ECDMTA5NT5LEWOYKALPRY4CRSETWYEM26,"Esha Tiwari",esha.tiwari@icloud.com,76540494085,Jaipur,Rajasthan,owner,1421,17052,true,true,true,1,4
10,GDZS5E3JFWQYRHA462UHBD5Q2YZCVBQ7PIV3T3ODQHLMB6LJGSRWD6WP,"Manish Pandey",manish_pandey@proton.me,98200946861,Lucknow,Uttar Pradesh,owner,686,6174,true,true,true,1,4
11,GAYJJ5BQG4MH27CTZTUVVWOLWGJG6T4NC5EBGXOHEIQQQHRDDMG2RJA4,"Nikhil Yadav",nikhilyadav1@icloud.com,88776374064,Surat,Gujarat,owner,962,14430,true,true,true,1,4
12,GDHETV3B7OQZZQIF7JUQPDMMASR7BFVIIEBP7PPUU4GP3KZH4H354MVW,"Rupali Shenoy",rupali.shenoy@gmail.com,99887530600,Indore,Madhya Pradesh,owner,2270,18160,true,true,true,1,4
13,GBVDK3KSTASAUJ4MMBV6NGK3SLPVY4DRBZ5YR4S7A6TMKWYJNZZ3ANC2,"Ganesh Joshi",ganesh.joshi@zoho.com,87990500097,Bhopal,Madhya Pradesh,owner,2035,28490,true,true,true,1,4
14,GBOYMZHBHXD2RCNB4F5Q33GJF6WWPWDACKW5ZTMANY42K3T2ORPMEJK5,"Rajesh Srivastava",rajesh_srivastava@zoho.com,66554396365,Chandigarh,Chandigarh,owner,2378,16646,true,true,true,1,4
15,GCX4WQDMC2I3WJPVT6PIVKNCFQHAQMBWB6SW5YACH6AK4XZCV2WDYXWR,"Neha Nair",neha_nair@outlook.com,77665623977,Nagpur,Maharashtra,owner,861,9471,true,true,true,1,4
16,GAZIZUEQQ44W2A6MG7QHAY6NL75GESE2UU7UFBRZPG363R5MI2JQWJKJ,"Chirag Gupta",chirag_gupta@icloud.com,87654952918,Visakhapatnam,Andhra Pradesh,owner,1023,5115,true,true,true,1,4
17,GCS7CNBXCZIKZE2O4ZGQMEJ6VCPYYGGMHZZBFNGJDRWHWZ3SWJFRYLUO,"Kamala Naik",kamalanaik@outlook.com,87190396424,Thiruvananthapuram,Kerala,owner,588,9996,true,true,true,1,4
18,GDFYRIELPEGJ2G35NVM2I252SRIKKREHHYK6RUDJGXDTFSAAGC3X2NHK,"Uma Verma",uma_verma@yahoo.in,76100417390,Coimbatore,Tamil Nadu,owner,643,9645,true,true,true,1,4
19,GDESDCTOBGO5QBNRLLXRVM42QES5CL2D43IJODASZTBHFH6AN5W56CIO,"Jayesh Agarwal",jayesh.agarwal@gmail.com,98710153969,Guwahati,Assam,owner,1136,11360,true,true,true,1,4
20,GDMHXSWDGBKIA7D7SOJF7MZCEHU62APMU5D6N4JRLRQVAIKUYJ6SX5MO,"Vasundhara Kulkarni",vasundhara_kulkarni@zoho.com,87665365514,Bhubaneswar,Odisha,owner,1885,28275,true,true,true,1,4
21,GB2J3IBREEYZIAURWGNFSWVEWJXVH6RICMUYF3YM66VP77VOMQFSJMRS,"Priya Choudhury",priya.choudhury@zoho.com,87190278716,Patna,Bihar,owner,1124,15736,true,true,true,1,4
22,GCCKIGGJBXKELTR3O6FKE3IQSJGLGUFSFSV72WLTEYPH65FQG4X7Y5AH,"Sunita Bhat",sunita_bhat@icloud.com,65100783976,Mangalore,Karnataka,agent,1284,6420,true,true,true,1,4
23,GA3ML4EBE3TNMHGKDNZOYOZ5356RIPRLSSJBSVBWHXJVYPXSV6W4HXTS,"Geeta Kamath",geetakamath@rediffmail.com,65190893133,Mysore,Karnataka,agent,1614,20982,true,true,true,1,4
24,GBKCDZIYYJAVT6KESITPUEA35R54ED3JNK2AN332RGZBHRB2ODHJ3IZW,"Pallavi Patel",pallavi.patel@zoho.com,98200281943,Vadodara,Gujarat,agent,2169,36873,true,true,true,1,4
25,GD5ALUPR2IAX5BBBU6WFFZLMBFJ4PUE5M6CF53YOGZ3BNRVYQRMKH3ZC,"Aarav Ghosh",aaravghosh@outlook.com,87670178065,Ranchi,Jharkhand,agent,1300,6500,true,true,true,1,4
26,GDP7XEIWII2TXRX3W7IHQMGA7EVQ7EXWK5BUV7VMDUA2KKJV33AJQ2UF,"Harsh Pillai",harsh_pillai@outlook.com,76100714535,Mumbai,Maharashtra,agent,1727,29359,true,true,true,1,4
